Tree ID,Site,Species,Root-shoot ratio,Total Biomass (gm),ANP Native,Biome,Range,Gymno/Angio,Range Gymno/Angio,Alive or Dead,Stem Height (2017 May),Stem Height (2019 August),Relative Height (%),Stem Dia (2017 May),Stem dia (2019 August),Relative Dia (%)
B4,3,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
B5,3,picru,0.787931034,18.49,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,16.4,25,52.43902439,2.555,6.58,157.5342466
C1,3,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
C2,3,pinst,0.417475728,27.62,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,31.5,63,100,5.845,11.825,102.3096664
C3,3,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
C4,3,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
C5,3,abiba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
D1,3,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
D2,3,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
D3,3,picgl,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
D4,3,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
D5,3,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
E1,3,pinri,0.418032787,56.74,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,24.5,72.5,195.9183673,3.43,13.845,303.6443149
E2,3,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
E3,3,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
E4,3,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
E5,3,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
F1,3,picru,0.794676806,5.95,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,19,17.8,-6.315789474,2.905,5.025,72.97762478
F2,3,robps,0.377530049,290.86,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,38,150,294.7368421,3.57,22.345,525.9103641
F3,3,abiba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
F4,3,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,N/A,,,,,,
F5,3,pinba,0.767020336,333.04,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,27,83,207.4074074,4.9,23.055,370.5102041
F6,3,pruse,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
G1,3,robps,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
G2,3,pruse,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
G3,3,picru,1.485074627,,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,18,21,16.66666667,2.8,3.72,32.85714286
G4,3,picgl,0.594594595,14.31,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,30,40.5,35,4.9,7.145,45.81632653
G5,3,pinri,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,27,72,166.6666667,3.255,14.37,341.4746544
G6,3,queru,1.611721612,8.89,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,24.5,11,-55.10204082,3.955,6.22,57.26927939
H1,3,pinst,1.223433243,42.43,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,29,54,86.20689655,6.37,12.485,95.99686028
H2,3,junvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,1,17.2,20,16.27906977,3.185,3.77,18.36734694
H3,3,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
H4,3,robps,0.581475932,225.05,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,45,118,162.2222222,4.2,18.4,338.0952381
H5,3,pruse,1.376395534,17.13,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,65,29.5,-54.61538462,4.375,6.39,46.05714286
H6,3,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
I1,3,pinba,0.758776897,50.68,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,17.5,52.5,200,4.445,15.305,244.3194601
I2,3,pinba,0.709490904,198.47,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,30,94,213.3333333,7,21.42,206
I3,3,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
I4,3,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
I5,3,junvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
I6,3,picgl,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
J1,3,junvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
J2,3,pinst,0.55980184,36.63,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,29.5,52.5,77.96610169,4.55,11.505,152.8571429
J3,3,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
J4,3,picgl,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
J5,3,pinba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
J6,3,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
K1,3,pruse,2.605394605,44.48,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,59.5,57.5,-3.361344538,4.97,7.445,49.79879276
K2,3,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
K3,3,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
K4,3,pinri,0.315926893,54.69,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,21,60.5,188.0952381,3.92,12.505,219.005102
K5,3,picru,0.856287425,4.94,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,11,15.2,38.18181818,2.87,3.86,34.49477352
K6,3,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
L1,3,picgl,0.70483871,20.62,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,18,32.6,81.11111111,2.765,6.215,124.7739602
L2,3,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
L3,3,pinba,0.654259502,109.9,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,38.5,91,136.3636364,6.72,15.03,123.6607143
L4,3,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
L5,3,aceru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
L6,3,picru,0.863636364,4.18,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,1,15.2,16.5,8.552631579,3.465,4.015,15.87301587
M1,3,abiba,0.662207358,17.05,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,17,23,35.29411765,3.71,5.72,54.17789757
M2,3,picgl,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,0,,,,,,
M3,3,aceru,2.407407407,2.59,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,25.5,17.1,-32.94117647,3.395,3.91,15.16936672
M4,3,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
M5,3,robps,0.400519931,107.47,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,40,106.5,166.25,3.5,14.73,320.8571429
M6,3,robps,0.377978478,473.78,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,37.2,148,297.8494624,4.655,23.145,397.207304
N1,3,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
N2,3,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
N3,3,pinri,0.811678268,90.45,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,1,26.5,55.7,110.1886792,5.6,15.87,183.3928571
N4,3,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
N5,3,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,N/A,,,,,,
O1,3,pinvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
O2,3,picru,,,Yes,Temperate,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
O3,3,abiba,0.830388693,8,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,20.5,24.9,21.46341463,3.5,4.935,41
O4,3,junvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
