Site,Species,Sapling,Diam1a,Diam1b,DiamDate1,DiamEnd1,DiamDateEnd1,Diam2a,Diam2b,DiamDate2,Diam2notes,Diam3a,Diam3b,DiamDate3,Diam3notes,Diam4a,Diam4b,DiamDate4,Diam4notes
2,lirtu,2-P3 lirtu,4.2,4.55,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,liqst planted
2,queru,2-P4 queru,3.15,2.8,5/11/17,3.52,9/14/17,3.29,3.29,6/7/18,,3.38,3.51,5/29/19,,3.54,3.39,8/13/19,
2,pruse,2-P5 pruse,2.45,2.66,5/11/17,3.49,9/14/17,4.9,4.21,6/7/18,,3.03,3.31,5/29/19,,2.91,2.93,8/13/19,
2,queru,2-Q1 queru,5.25,5.04,5/11/17,5.72,9/14/17,6.28,6.51,6/7/18,,5.91,6.04,5/29/19,,6.27,6.22,8/13/19,
2,robps,2-Q2 robps,6.16,6.23,5/11/17,16.84,9/14/17,21.73,21.15,6/7/18,,37.89,38.46,5/29/19,,45.08,48.29,8/13/19,
2,pruse,2-Q3 pruse,3.5,3.5,5/11/17,3.56,9/14/17,3.97,3.69,6/7/18,,3.7,3.4,5/29/19,,3.54,3.6,8/13/19,
2,abiba,2-Q4 abiba,3.01,2.94,5/11/17,4.52,9/14/17,4.53,4.26,6/7/18,,5.32,5.41,5/29/19,,6.21,5.96,8/13/19,
2,lirtu,2-Q5 lirtu,3.57,3.57,5/11/17,4.82,9/14/17,4.72,5.06,6/7/18,,,,5/29/19,,,,8/13/19,"dead: 4.47, 4.32"
2,quepr,2-R2 quepr,5.67,6.09,5/11/17,9.11,9/14/17,7.95,7.66,6/7/18,,8.64,9.05,5/29/19,,9.34,9.3,8/13/19,
2,pinba,2-R3 pinba,6.3,6.37,5/11/17,11.59,9/14/17,11.27,11.1,6/7/18,,11.14,12.34,5/29/19,,13.52,12.12,8/13/19,
2,pinri,2-R4 pinri,4.69,4.55,5/11/17,9.58,9/14/17,8.55,8.81,6/7/18,,10.89,10.32,5/29/19,,11.67,11.84,8/13/19,
2,queal,2-R5 queal,4.06,4.2,5/11/17,6,9/14/17,5.2,5.04,6/7/18,,5.69,5.83,5/29/19,,5.39,5.62,8/13/19,
3,lirtu,3-A2 lirtu,4.55,4.2,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
3,pinta,3-A3 pinta,4.2,4.34,5/11/17,6.52,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,abiba,3-A4 abiba,3.29,3.5,5/11/17,4.05,9/14/17,4.3,4.31,6/7/18,,6.26,5.77,5/29/19,,8.07,7.8,8/13/19,
3,junvi,3-A5 junvi,2.87,3.29,5/11/17,4.61,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,aceru,3-B1 aceru,2.31,2.24,5/11/17,3.5,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinvi,3-B2 pinvi,3.01,3.36,5/11/17,5.54,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinri,3-B3 pinri,6.51,6.16,5/11/17,8.84,9/14/17,9.87,9.86,6/7/18,,13.85,14.13,5/29/19,,16.84,16.25,8/13/19,
3,lirtu,3-B4 lirtu,5.04,4.97,5/11/17,8.08,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picru,3-B5 picru,2.66,2.45,5/11/17,3.67,9/14/17,3.5,3.51,6/7/18,,4.8,4.98,5/29/19,,6.35,6.81,8/13/19,
3,quepr,3-C1 quepr,4.9,4.9,5/11/17,6.32,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinst,3-C2 pinst,5.95,5.74,5/11/17,8.67,9/14/17,10.48,9.33,6/7/18,,11.52,11.4,5/29/19,,11.44,12.21,8/13/19,
3,queru,3-C3 queru,3.15,3.15,5/11/17,4.34,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,queru,3-C4 queru,3.5,3.36,5/11/17,3.32,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,abiba,3-C5 abiba,3.36,3.22,5/11/17,4.84,9/14/17,5.88,5.84,6/7/18,,,,5/29/19,"dead; 4.11, 4.29",,,8/13/19,
3,queal,3-D1 queal,3.15,2.94,5/11/17,3.83,9/14/17,3.35,3.38,6/7/18,,3.7,3.58,5/29/19,,,,8/13/19,"dead: 3.45, 3.52"
3,aceru,3-D2 aceru,3.01,2.66,5/11/17,3.67,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picgl,3-D3 picgl,5.04,4.9,5/11/17,5.97,9/14/17,,,6/7/18,,,,5/29/19,plamted,,,8/13/19,
3,quepr,3-D4 quepr,3.64,3.5,5/11/17,4.42,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,queal,3-D5 queal,3.15,3.15,5/11/17,4.4,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinri,3-E1 pinri,3.5,3.36,5/11/17,5.92,9/14/17,6.43,7.47,6/7/18,,9.78,11.22,5/29/19,,13.09,14.6,8/13/19,
3,quepr,3-E2 quepr,4.06,3.85,5/11/17,4.66,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinta,3-E3 pinta,3.64,3.92,5/11/17,4.56,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,aceru,3-E4 aceru,2.45,2.52,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,empty,,,8/13/19,
3,pinvi,3-E5 pinvi,3.22,3.22,5/11/17,4.97,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picru,3-F1 picru,2.8,3.01,5/11/17,3.92,9/14/17,3.65,3.67,6/7/18,,3.87,4.42,5/29/19,uprooting,4.69,5.36,8/13/19,
3,robps,3-F2 robps,3.5,3.64,5/11/17,10.13,9/14/17,12.36,12.57,6/7/18,,19.35,19.79,5/29/19,,23.02,21.67,8/13/19,
3,abiba,3-F3 abiba,3.64,3.64,5/11/17,6.05,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinta,3-F4 pinta,3.15,3.15,5/11/17,3.72,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
3,pinba,3-F5 pinba,4.9,4.9,5/11/17,5.11,9/14/17,11.47,11.58,6/7/18,,17.93,17.77,5/29/19,,23.78,22.33,8/13/19,
3,pruse,3-F6 pruse,4.55,4.2,5/11/17,5.83,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,robps,3-G1 robps,5.74,5.6,5/11/17,6.86,9/14/17,9.83,10.5,6/7/18,,,,5/29/19,decline,,,8/13/19,
